"","FAMNUM","SITE","FAMSIZE","TREAT","TOTFAMINC74","HHHRWRK","RACIALHH","MHETHNIC","FHETHNIC","AVGPROD","HMEVAL","VEHVAL","OTHVAL","LIQASSETS","DEBTS"
"214",7485,"Winnipeg",7,2,5309,800,0,"Canadian","Canadian",6.63625,NA,1200,NA,700,3813
"215",7486,"Winnipeg",5,1,5470,760,0,"Irish","Polish",7.19736842105263,NA,3500,NA,25,3825
"216",7498,"Winnipeg",9,3,3624,NA,0,NA,NA,NA,NA,0,NA,0,0
"217",7569,"Winnipeg",1,6,11494,NA,0,NA,"Swedish",NA,NA,0,NA,1500,340
"218",7619,"Winnipeg",1,9,6318,NA,0,NA,"Scottish",NA,NA,0,NA,500,500
"219",7669,"Winnipeg",6,7,7159,400,0,"French",NA,17.8975,NA,200,NA,0,0
"220",7752,"Winnipeg",6,5,6971,NA,0,"French","French",NA,12000,NA,NA,0,NA
"221",7933,"Winnipeg",7,9,5633,560,0,"Canadian","Canadian",10.0589285714286,NA,50,NA,0,2040
"222",7963,"Winnipeg",1,3,12864,NA,1,NA,"Other",NA,NA,0,NA,95,665
"223",7977,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"224",8052,"Winnipeg",1,6,2803,NA,0,"Polish",NA,NA,NA,0,NA,0,0
"225",8080,"Winnipeg",1,8,17406,NA,0,"Yugoslavian/Czech/Hungarian",NA,NA,NA,100,NA,21000,0
"226",8093,"Winnipeg",3,7,12150,800,0,"Scottish","Scottish",15.1875,NA,1200,NA,1500,1170
"227",8124,"Winnipeg",7,5,9899,800,0,"Canadian","Canadian",12.37375,21000,1850,NA,380,4500
"228",8144,"Winnipeg",5,2,6064,NA,0,NA,"French",NA,NA,0,NA,NA,3088
"229",8173,"Winnipeg",5,7,8460,720,0,NA,"Canadian",11.75,NA,200,NA,0,1200
"230",8193,"Winnipeg",3,2,2498,400,0,NA,"English",6.245,NA,0,NA,0,0
"231",8227,"Winnipeg",6,9,3016,NA,0,NA,NA,NA,NA,0,NA,0,0
"232",8229,"Winnipeg",4,9,8126,460,0,NA,"English",17.6652173913043,20000,700,NA,2800,0
"233",8254,"Winnipeg",4,5,13090,600,0,"English","English",21.8166666666667,30000,1800,NA,11064,0
